Site,Vol,Prob,Type,NUMBERO
Weibull Not Metered 3-Lane,0,0,Weilbull,1
Weibull Not Metered 3-Lane,10,8.12E-46,Weilbull,1
Weibull Not Metered 3-Lane,20,4.85E-40,Weilbull,1
Weibull Not Metered 3-Lane,30,1.16E-36,Weilbull,1
Weibull Not Metered 3-Lane,40,2.89E-34,Weilbull,1
Weibull Not Metered 3-Lane,50,2.09E-32,Weilbull,1
Weibull Not Metered 3-Lane,60,6.92E-31,Weilbull,1
Weibull Not Metered 3-Lane,70,1.33E-29,Weilbull,1
Weibull Not Metered 3-Lane,80,1.73E-28,Weilbull,1
Weibull Not Metered 3-Lane,90,1.65E-27,Weilbull,1
Weibull Not Metered 3-Lane,100,1.25E-26,Weilbull,1
Weibull Not Metered 3-Lane,110,7.78E-26,Weilbull,1
Weibull Not Metered 3-Lane,120,4.13E-25,Weilbull,1
Weibull Not Metered 3-Lane,130,1.92E-24,Weilbull,1
Weibull Not Metered 3-Lane,140,7.95E-24,Weilbull,1
Weibull Not Metered 3-Lane,150,2.99E-23,Weilbull,1
Weibull Not Metered 3-Lane,160,1.03E-22,Weilbull,1
Weibull Not Metered 3-Lane,170,3.30E-22,Weilbull,1
Weibull Not Metered 3-Lane,180,9.88E-22,Weilbull,1
Weibull Not Metered 3-Lane,190,2.79E-21,Weilbull,1
Weibull Not Metered 3-Lane,200,7.46E-21,Weilbull,1
Weibull Not Metered 3-Lane,210,1.90E-20,Weilbull,1
Weibull Not Metered 3-Lane,220,4.64E-20,Weilbull,1
Weibull Not Metered 3-Lane,230,1.09E-19,Weilbull,1
Weibull Not Metered 3-Lane,240,2.46E-19,Weilbull,1
Weibull Not Metered 3-Lane,250,5.39E-19,Weilbull,1
Weibull Not Metered 3-Lane,260,1.14E-18,Weilbull,1
Weibull Not Metered 3-Lane,270,2.36E-18,Weilbull,1
Weibull Not Metered 3-Lane,280,4.75E-18,Weilbull,1
Weibull Not Metered 3-Lane,290,9.31E-18,Weilbull,1
Weibull Not Metered 3-Lane,300,1.78E-17,Weilbull,1
Weibull Not Metered 3-Lane,310,3.35E-17,Weilbull,1
Weibull Not Metered 3-Lane,320,6.15E-17,Weilbull,1
Weibull Not Metered 3-Lane,330,1.11E-16,Weilbull,1
Weibull Not Metered 3-Lane,340,1.97E-16,Weilbull,1
Weibull Not Metered 3-Lane,350,3.43E-16,Weilbull,1
Weibull Not Metered 3-Lane,360,5.89E-16,Weilbull,1
Weibull Not Metered 3-Lane,370,9.97E-16,Weilbull,1
Weibull Not Metered 3-Lane,380,1.66E-15,Weilbull,1
Weibull Not Metered 3-Lane,390,2.74E-15,Weilbull,1
Weibull Not Metered 3-Lane,400,4.45E-15,Weilbull,1
Weibull Not Metered 3-Lane,410,7.15E-15,Weilbull,1
Weibull Not Metered 3-Lane,420,1.14E-14,Weilbull,1
Weibull Not Metered 3-Lane,430,1.78E-14,Weilbull,1
Weibull Not Metered 3-Lane,440,2.77E-14,Weilbull,1
Weibull Not Metered 3-Lane,450,4.26E-14,Weilbull,1
Weibull Not Metered 3-Lane,460,6.50E-14,Weilbull,1
Weibull Not Metered 3-Lane,470,9.82E-14,Weilbull,1
Weibull Not Metered 3-Lane,480,1.47E-13,Weilbull,1
Weibull Not Metered 3-Lane,490,2.19E-13,Weilbull,1
Weibull Not Metered 3-Lane,500,3.22E-13,Weilbull,1
Weibull Not Metered 3-Lane,510,4.71E-13,Weilbull,1
Weibull Not Metered 3-Lane,520,6.83E-13,Weilbull,1
Weibull Not Metered 3-Lane,530,9.85E-13,Weilbull,1
Weibull Not Metered 3-Lane,540,1.41E-12,Weilbull,1
Weibull Not Metered 3-Lane,550,2.00E-12,Weilbull,1
Weibull Not Metered 3-Lane,560,2.83E-12,Weilbull,1
Weibull Not Metered 3-Lane,570,3.98E-12,Weilbull,1
Weibull Not Metered 3-Lane,580,5.55E-12,Weilbull,1
Weibull Not Metered 3-Lane,590,7.71E-12,Weilbull,1
Weibull Not Metered 3-Lane,600,1.06E-11,Weilbull,1
Weibull Not Metered 3-Lane,610,1.46E-11,Weilbull,1
Weibull Not Metered 3-Lane,620,2.00E-11,Weilbull,1
Weibull Not Metered 3-Lane,630,2.71E-11,Weilbull,1
Weibull Not Metered 3-Lane,640,3.67E-11,Weilbull,1
Weibull Not Metered 3-Lane,650,4.94E-11,Weilbull,1
Weibull Not Metered 3-Lane,660,6.63E-11,Weilbull,1
Weibull Not Metered 3-Lane,670,8.84E-11,Weilbull,1
Weibull Not Metered 3-Lane,680,1.18E-10,Weilbull,1
Weibull Not Metered 3-Lane,690,1.56E-10,Weilbull,1
Weibull Not Metered 3-Lane,700,2.05E-10,Weilbull,1
Weibull Not Metered 3-Lane,710,2.69E-10,Weilbull,1
Weibull Not Metered 3-Lane,720,3.52E-10,Weilbull,1
Weibull Not Metered 3-Lane,730,4.58E-10,Weilbull,1
Weibull Not Metered 3-Lane,740,5.95E-10,Weilbull,1
Weibull Not Metered 3-Lane,750,7.70E-10,Weilbull,1
Weibull Not Metered 3-Lane,760,9.93E-10,Weilbull,1
Weibull Not Metered 3-Lane,770,1.28E-09,Weilbull,1
Weibull Not Metered 3-Lane,780,1.63E-09,Weilbull,1
Weibull Not Metered 3-Lane,790,2.09E-09,Weilbull,1
Weibull Not Metered 3-Lane,800,2.66E-09,Weilbull,1
Weibull Not Metered 3-Lane,810,3.37E-09,Weilbull,1
Weibull Not Metered 3-Lane,820,4.27E-09,Weilbull,1
Weibull Not Metered 3-Lane,830,5.38E-09,Weilbull,1
Weibull Not Metered 3-Lane,840,6.77E-09,Weilbull,1
Weibull Not Metered 3-Lane,850,8.50E-09,Weilbull,1
Weibull Not Metered 3-Lane,860,1.06E-08,Weilbull,1
Weibull Not Metered 3-Lane,870,1.33E-08,Weilbull,1
Weibull Not Metered 3-Lane,880,1.65E-08,Weilbull,1
Weibull Not Metered 3-Lane,890,2.05E-08,Weilbull,1
Weibull Not Metered 3-Lane,900,2.55E-08,Weilbull,1
Weibull Not Metered 3-Lane,910,3.15E-08,Weilbull,1
Weibull Not Metered 3-Lane,920,3.88E-08,Weilbull,1
Weibull Not Metered 3-Lane,930,4.78E-08,Weilbull,1
Weibull Not Metered 3-Lane,940,5.86E-08,Weilbull,1
Weibull Not Metered 3-Lane,950,7.18E-08,Weilbull,1
Weibull Not Metered 3-Lane,960,8.78E-08,Weilbull,1
Weibull Not Metered 3-Lane,970,1.07E-07,Weilbull,1
Weibull Not Metered 3-Lane,980,1.30E-07,Weilbull,1
Weibull Not Metered 3-Lane,990,1.58E-07,Weilbull,1
Weibull Not Metered 3-Lane,1000,1.92E-07,Weilbull,1
Weibull Not Metered 3-Lane,1010,2.33E-07,Weilbull,1
Weibull Not Metered 3-Lane,1020,2.81E-07,Weilbull,1
Weibull Not Metered 3-Lane,1030,3.39E-07,Weilbull,1
Weibull Not Metered 3-Lane,1040,4.08E-07,Weilbull,1
Weibull Not Metered 3-Lane,1050,4.90E-07,Weilbull,1
Weibull Not Metered 3-Lane,1060,5.88E-07,Weilbull,1
Weibull Not Metered 3-Lane,1070,7.04E-07,Weilbull,1
Weibull Not Metered 3-Lane,1080,8.42E-07,Weilbull,1
Weibull Not Metered 3-Lane,1090,1.00E-06,Weilbull,1
Weibull Not Metered 3-Lane,1100,1.20E-06,Weilbull,1
Weibull Not Metered 3-Lane,1110,1.42E-06,Weilbull,1
Weibull Not Metered 3-Lane,1120,1.69E-06,Weilbull,1
Weibull Not Metered 3-Lane,1130,2.01E-06,Weilbull,1
Weibull Not Metered 3-Lane,1140,2.37E-06,Weilbull,1
Weibull Not Metered 3-Lane,1150,2.81E-06,Weilbull,1
Weibull Not Metered 3-Lane,1160,3.32E-06,Weilbull,1
Weibull Not Metered 3-Lane,1170,3.91E-06,Weilbull,1
Weibull Not Metered 3-Lane,1180,4.60E-06,Weilbull,1
Weibull Not Metered 3-Lane,1190,5.41E-06,Weilbull,1
Weibull Not Metered 3-Lane,1200,6.35E-06,Weilbull,1
Weibull Not Metered 3-Lane,1210,7.45E-06,Weilbull,1
Weibull Not Metered 3-Lane,1220,8.72E-06,Weilbull,1
Weibull Not Metered 3-Lane,1230,1.02E-05,Weilbull,1
Weibull Not Metered 3-Lane,1240,1.19E-05,Weilbull,1
Weibull Not Metered 3-Lane,1250,1.39E-05,Weilbull,1
Weibull Not Metered 3-Lane,1260,1.62E-05,Weilbull,1
Weibull Not Metered 3-Lane,1270,1.89E-05,Weilbull,1
Weibull Not Metered 3-Lane,1280,2.19E-05,Weilbull,1
Weibull Not Metered 3-Lane,1290,2.54E-05,Weilbull,1
Weibull Not Metered 3-Lane,1300,2.95E-05,Weilbull,1
Weibull Not Metered 3-Lane,1310,3.42E-05,Weilbull,1
Weibull Not Metered 3-Lane,1320,3.96E-05,Weilbull,1
Weibull Not Metered 3-Lane,1330,4.57E-05,Weilbull,1
Weibull Not Metered 3-Lane,1340,5.28E-05,Weilbull,1
Weibull Not Metered 3-Lane,1350,6.09E-05,Weilbull,1
Weibull Not Metered 3-Lane,1360,7.01E-05,Weilbull,1
Weibull Not Metered 3-Lane,1370,8.07E-05,Weilbull,1
Weibull Not Metered 3-Lane,1380,9.28E-05,Weilbull,1
Weibull Not Metered 3-Lane,1390,0.000106606,Weilbull,1
Weibull Not Metered 3-Lane,1400,0.000122325,Weilbull,1
Weibull Not Metered 3-Lane,1410,0.000140223,Weilbull,1
Weibull Not Metered 3-Lane,1420,0.000160585,Weilbull,1
Weibull Not Metered 3-Lane,1430,0.000183728,Weilbull,1
Weibull Not Metered 3-Lane,1440,0.000210009,Weilbull,1
Weibull Not Metered 3-Lane,1450,0.000239828,Weilbull,1
Weibull Not Metered 3-Lane,1460,0.00027363,Weilbull,1
Weibull Not Metered 3-Lane,1470,0.000311914,Weilbull,1
Weibull Not Metered 3-Lane,1480,0.000355238,Weilbull,1
Weibull Not Metered 3-Lane,1490,0.000404224,Weilbull,1
Weibull Not Metered 3-Lane,1500,0.000459567,Weilbull,1
Weibull Not Metered 3-Lane,1510,0.000522039,Weilbull,1
Weibull Not Metered 3-Lane,1520,0.000592503,Weilbull,1
Weibull Not Metered 3-Lane,1530,0.000671916,Weilbull,1
Weibull Not Metered 3-Lane,1540,0.000761346,Weilbull,1
Weibull Not Metered 3-Lane,1550,0.000861975,Weilbull,1
Weibull Not Metered 3-Lane,1560,0.000975119,Weilbull,1
Weibull Not Metered 3-Lane,1570,0.001102238,Weilbull,1
Weibull Not Metered 3-Lane,1580,0.001244949,Weilbull,1
Weibull Not Metered 3-Lane,1590,0.001405045,Weilbull,1
Weibull Not Metered 3-Lane,1600,0.00158451,Weilbull,1
Weibull Not Metered 3-Lane,1610,0.00178554,Weilbull,1
Weibull Not Metered 3-Lane,1620,0.002010562,Weilbull,1
Weibull Not Metered 3-Lane,1630,0.002262258,Weilbull,1
Weibull Not Metered 3-Lane,1640,0.002543587,Weilbull,1
Weibull Not Metered 3-Lane,1650,0.002857815,Weilbull,1
Weibull Not Metered 3-Lane,1660,0.00320854,Weilbull,1
Weibull Not Metered 3-Lane,1670,0.003599728,Weilbull,1
Weibull Not Metered 3-Lane,1680,0.004035741,Weilbull,1
Weibull Not Metered 3-Lane,1690,0.004521378,Weilbull,1
Weibull Not Metered 3-Lane,1700,0.005061912,Weilbull,1
Weibull Not Metered 3-Lane,1710,0.005663132,Weilbull,1
Weibull Not Metered 3-Lane,1720,0.00633139,Weilbull,1
Weibull Not Metered 3-Lane,1730,0.007073651,Weilbull,1
Weibull Not Metered 3-Lane,1740,0.007897538,Weilbull,1
Weibull Not Metered 3-Lane,1750,0.008811399,Weilbull,1
Weibull Not Metered 3-Lane,1760,0.009824354,Weilbull,1
Weibull Not Metered 3-Lane,1770,0.010946368,Weilbull,1
Weibull Not Metered 3-Lane,1780,0.012188312,Weilbull,1
Weibull Not Metered 3-Lane,1790,0.013562035,Weilbull,1
Weibull Not Metered 3-Lane,1800,0.015080437,Weilbull,1
Weibull Not Metered 3-Lane,1810,0.016757546,Weilbull,1
Weibull Not Metered 3-Lane,1820,0.018608598,Weilbull,1
Weibull Not Metered 3-Lane,1830,0.020650121,Weilbull,1
Weibull Not Metered 3-Lane,1840,0.022900018,Weilbull,1
Weibull Not Metered 3-Lane,1850,0.025377651,Weilbull,1
Weibull Not Metered 3-Lane,1860,0.028103934,Weilbull,1
Weibull Not Metered 3-Lane,1870,0.031101409,Weilbull,1
Weibull Not Metered 3-Lane,1880,0.034394338,Weilbull,1
Weibull Not Metered 3-Lane,1890,0.038008777,Weilbull,1
Weibull Not Metered 3-Lane,1900,0.04197265,Weilbull,1
Weibull Not Metered 3-Lane,1910,0.046315816,Weilbull,1
Weibull Not Metered 3-Lane,1920,0.051070118,Weilbull,1
Weibull Not Metered 3-Lane,1930,0.056269426,Weilbull,1
Weibull Not Metered 3-Lane,1940,0.06194965,Weilbull,1
Weibull Not Metered 3-Lane,1950,0.068148736,Weilbull,1
Weibull Not Metered 3-Lane,1960,0.074906633,Weilbull,1
Weibull Not Metered 3-Lane,1970,0.08226522,Weilbull,1
Weibull Not Metered 3-Lane,1980,0.090268196,Weilbull,1
Weibull Not Metered 3-Lane,1990,0.098960909,Weilbull,1
Weibull Not Metered 3-Lane,2000,0.108390143,Weilbull,1
Weibull Not Metered 3-Lane,2010,0.118603819,Weilbull,1
Weibull Not Metered 3-Lane,2020,0.129650632,Weilbull,1
Weibull Not Metered 3-Lane,2030,0.14157959,Weilbull,1
Weibull Not Metered 3-Lane,2040,0.154439464,Weilbull,1
Weibull Not Metered 3-Lane,2050,0.168278115,Weilbull,1
Weibull Not Metered 3-Lane,2060,0.183141718,Weilbull,1
Weibull Not Metered 3-Lane,2070,0.199073845,Weilbull,1
Weibull Not Metered 3-Lane,2080,0.216114419,Weilbull,1
Weibull Not Metered 3-Lane,2090,0.234298528,Weilbull,1
Weibull Not Metered 3-Lane,2100,0.253655098,Weilbull,1
Weibull Not Metered 3-Lane,2110,0.274205431,Weilbull,1
Weibull Not Metered 3-Lane,2120,0.295961615,Weilbull,1
Weibull Not Metered 3-Lane,2130,0.318924837,Weilbull,1
Weibull Not Metered 3-Lane,2140,0.343083605,Weilbull,1
Weibull Not Metered 3-Lane,2150,0.368411945,Weilbull,1
Weibull Not Metered 3-Lane,2160,0.394867597,Weilbull,1
Weibull Not Metered 3-Lane,2170,0.42239031,Weilbull,1
Weibull Not Metered 3-Lane,2180,0.450900276,Weilbull,1
Weibull Not Metered 3-Lane,2190,0.480296835,Weilbull,1
Weibull Not Metered 3-Lane,2200,0.510457539,Weilbull,1
Weibull Not Metered 3-Lane,2210,0.5412377,Weilbull,1
Weibull Not Metered 3-Lane,2220,0.572470542,Weilbull,1
Weibull Not Metered 3-Lane,2230,0.603968103,Weilbull,1
Weibull Not Metered 3-Lane,2240,0.635522972,Weilbull,1
Weibull Not Metered 3-Lane,2250,0.666910995,Weilbull,1
Weibull Not Metered 3-Lane,2260,0.69789499,Weilbull,1
Weibull Not Metered 3-Lane,2270,0.728229503,Weilbull,1
Weibull Not Metered 3-Lane,2280,0.757666567,Weilbull,1
Weibull Not Metered 3-Lane,2290,0.785962337,Weilbull,1
Weibull Not Metered 3-Lane,2300,0.812884411,Weilbull,1
Weibull Not Metered 3-Lane,2310,0.838219544,Weilbull,1
